Tournament,Date,Surface,Round,player_0,player_0_rank,player_0_odd,player_1,player_1_rank,player_1_odd,outcome,player_0_match_win_percent,player_1_match_win_percent,player_0_games_win_percent,player_1_games_win_percent,player_0_5_set_match_win_percent,player_1_5_set_match_win_percent,player_0_close_sets_percent,player_1_close_sets_percent,player_0_match_win_percent_hard,player_1_match_win_percent_hard,player_0_games_win_percent_hard,player_1_games_win_percent_hard,player_0_5_set_match_win_percent_hard,player_1_5_set_match_win_percent_hard,player_0_close_sets_percent_hard,player_1_close_sets_percent_hard,player_0_match_win_percent_52,player_1_match_win_percent_52,player_0_games_win_percent_52,player_1_games_win_percent_52,player_0_5_set_match_win_percent_52,player_1_5_set_match_win_percent_52,player_0_close_sets_percent_52,player_1_close_sets_percent_52,player_0_match_win_percent_hard_60,player_1_match_win_percent_hard_60,player_0_games_win_percent_hard_60,player_1_games_win_percent_hard_60,player_0_5_set_match_win_percent_hard_60,player_1_5_set_match_win_percent_hard_60,player_0_close_sets_percent_hard_60,player_1_close_sets_percent_hard_60,player_0_match_win_percent_hh,player_1_match_win_percent_hh,player_0_games_win_percent_hh,player_1_games_win_percent_hh,player_0_match_win_percent_hard_hh,player_1_match_win_percent_hard_hh,player_0_games_win_percent_hard_hh,player_1_games_win_percent_hard_hh,diff_match_win_percent,diff_games_win_percent,diff_5_set_match_win_percent,diff_close_sets_percent,diff_match_win_percent_hard,diff_games_win_percent_hard,diff_5_set_match_win_percent_hard,diff_close_sets_percent_hard,diff_match_win_percent_52,diff_games_win_percent_52,diff_5_set_match_win_percent_52,diff_close_sets_percent_52,diff_match_win_percent_hard_60,diff_games_win_percent_hard_60,diff_5_set_match_win_percent_hard_60,diff_close_sets_percent_hard_60,diff_match_win_percent_hh,diff_games_win_percent_hh,diff_match_win_percent_hard_hh,diff_games_win_percent_hard_hh
US Open,2010/08/30,Hard,1st Round,Cilic M.,13.0,1.12,Marchenko I.,73.0,5.5,0,0.6195121951219512,0.46875,0.5305004721435317,0.4851994851994852,0.6744186046511628,0.3333333333333333,0.5563480741797432,0.4411764705882353,0.6666666666666666,0.52,0.5378815080789946,0.49498327759197325,0.7391304347826086,0.5,0.5675675675675675,0.45569620253164556,0.7076923076923077,0.4838709677419355,0.5491228070175439,0.487248322147651,0.75,0.3333333333333333,0.5814977973568282,0.4444444444444444,0.7115384615384616,0.5416666666666666,0.5497737556561086,0.49823321554770317,0.8181818181818182,0.5,0.5898876404494382,0.4605263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15076219512195121,0.045300986944046495,0.34108527131782945,0.11517160359150791,0.1466666666666666,0.04289823048702135,0.23913043478260865,0.11187136503592199,0.22382133995037223,0.06187448486989289,0.4166666666666667,0.13705335291238374,0.16987179487179493,0.051540540108405475,0.31818181818181823,0.12936132465996453,0.0,0.0,0.0,0.0
US Open,2010/08/30,Hard,1st Round,Davydenko N.,6.0,1.06,Russell M.,80.0,8.0,0,0.711864406779661,0.3582089552238806,0.5652566158781075,0.46707317073170734,0.775,0.18181818181818182,0.5746962115796997,0.4125560538116592,0.6919431279620853,0.43478260869565216,0.559859840373759,0.4909090909090909,0.813953488372093,0.16666666666666666,0.5660639777468707,0.4666666666666667,0.7547169811320755,0.37037037037037035,0.5712098009188361,0.46396396396396394,0.8,0.25,0.5921787709497207,0.42696629213483145,0.7884615384615384,0.47368421052631576,0.5741324921135647,0.49563318777292575,0.875,0.0,0.5988372093023255,0.4915254237288136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35365545155578043,0.09818344514640015,0.5931818181818183,0.16214015776804053,0.2571605192664332,0.06895074946466812,0.6472868217054264,0.099397311080204,0.3843466107617052,0.10724583695487216,0.55,0.16521247881488926,0.3147773279352227,0.0784993043406389,0.875,0.10731178557351195,0.0,0.0,0.0,0.0
US Open,2010/08/30,Hard,1st Round,Ferrero J.C.,24.0,1.14,Klizan M.,293.0,5.0,0,0.6161616161616161,0.4,0.5260707635009311,0.5213675213675214,0.6,0.0,0.5404595404595405,0.4,0.5175438596491229,0.5,0.4994701518897916,0.5238095238095238,0.47619047619047616,0.0,0.4739583333333333,0.5,0.6595744680851063,0.5,0.542314335060449,0.5636363636363636,0.5,0.0,0.5668789808917197,0.5,0.47368421052631576,0.0,0.4922737306843267,0.0,0.5,0.0,0.4307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2161616161616161,0.004703242133409669,0.6,0.14045954045954046,0.01754385964912286,-0.024339371919732233,0.47619047619047616,-0.026041666666666685,0.15957446808510634,-0.021322028575914587,0.5,0.06687898089171973,0.47368421052631576,0.4922737306843267,0.5,0.4307692307692308,0.0,0.0,0.0,0.0
US Open,2010/08/30,Hard,1st Round,Gasquet R.,38.0,1.12,Greul S.,84.0,5.5,0,0.6453900709219859,0.375,0.54463243873979,0.459023178807947,0.6170212765957447,0.16666666666666666,0.5553191489361702,0.3898809523809524,0.5915492957746479,0.3695652173913043,0.5352032054951346,0.463898916967509,0.6086956521739131,0.2,0.5466101694915254,0.39864864864864863,0.6037735849056604,0.391304347826087,0.5322327044025157,0.46794871794871795,0.0,0.2,0.5757575757575758,0.42567567567567566,0.5185185185185185,0.4117647058823529,0.5091185410334347,0.46943231441048033,0.0,0.3333333333333333,0.5176470588235295,0.43859649122807015,0.5,0.5,0.5454545454545454,0.45454545454545453,0.5,0.5,0.5454545454545454,0.45454545454545453,0.27039007092198586,0.08560925993184293,0.45035460992907805,0.1654381965552178,0.22198407838334355,0.07130428852762555,0.40869565217391307,0.14796152084287678,0.21246923707957338,0.06428398645379774,-0.2,0.15008190008190014,0.10675381263616557,0.039686226622954346,-0.3333333333333333,0.07905056759545931,0.0,0.09090909090909088,0.0,0.09090909090909088
US Open,2010/08/30,Hard,1st Round,De Bakker T.,48.0,1.2,Gicquel M.,170.0,4.33,0,0.52,0.4748603351955307,0.5037707390648567,0.4950316169828365,0.5,0.43333333333333335,0.536144578313253,0.45226130653266333,0.5,0.45121951219512196,0.503921568627451,0.4960238568588469,0.0,0.4666666666666667,0.5147058823529411,0.44565217391304346,0.5833333333333334,0.4090909090909091,0.5141955835962145,0.4883268482490272,0.5714285714285714,0.3333333333333333,0.5409836065573771,0.3974358974358974,0.55,0.5454545454545454,0.5142857142857142,0.5287128712871287,0.0,0.5,0.5161290322580645,0.4864864864864865,0.0,1.0,0.40816326530612246,0.5918367346938775,0.0,1.0,0.40816326530612246,0.5918367346938775,0.04513966480446929,0.008739122082020212,0.06666666666666665,0.08388327178058969,0.04878048780487804,0.007897711768604043,-0.4666666666666667,0.06905370843989767,0.17424242424242425,0.02586873534718731,0.23809523809523808,0.14354770912147968,0.00454545454545463,-0.014427157001414503,-0.5,0.02964254577157799,-1.0,-0.18367346938775508,-1.0,-0.18367346938775508
US Open,2010/08/30,Hard,1st Round,Mello R.,81.0,1.53,Phau B.,97.0,2.37,0,0.31343283582089554,0.373015873015873,0.44496330887258173,0.4645354645354645,0.2222222222222222,0.2222222222222222,0.319634703196347,0.4082125603864734,0.32432432432432434,0.42168674698795183,0.450887573964497,0.4699481865284974,0.4,0.3076923076923077,0.35537190082644626,0.4072727272727273,0.38461538461538464,0.35,0.4463667820069204,0.46860986547085204,0.0,0.0,0.27906976744186046,0.4032258064516129,0.3333333333333333,0.4,0.4444444444444444,0.4699140401146132,0.0,0.0,0.3333333333333333,0.425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059583037194977484,-0.019572155662882784,0.0,-0.0885778571901264,-0.09736242266362749,-0.01906061256400038,0.09230769230769231,-0.05190082644628102,0.03461538461538466,-0.022243083463931612,0.0,-0.12415603900975242,-0.06666666666666671,-0.025469595670168765,0.0,-0.09219858156028371,0.0,0.0,0.0,0.0
US Open,2010/08/30,Hard,1st Round,Soderling R.,5.0,1.01,Haider-Maurer A.,214.0,15.0,0,0.6423611111111112,0.3333333333333333,0.5438692846354525,0.44594594594594594,0.6458333333333334,0.0,0.5791666666666667,0.4444444444444444,0.6428571428571429,0.0,0.5499186109603906,0.4,0.46153846153846156,0.0,0.5860655737704918,0.0,0.704225352112676,0.3333333333333333,0.5632563256325632,0.44594594594594594,0.75,0.0,0.5836734693877551,0.4444444444444444,0.6938775510204082,0.0,0.5612416107382551,0.4,0.5,0.0,0.6064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30902777777777785,0.09792333868950653,0.6458333333333334,0.1347222222222223,0.6428571428571429,0.1499186109603906,0.46153846153846156,0.5860655737704918,0.3708920187793427,0.11731037968661728,0.75,0.1392290249433107,0.6938775510204082,0.16124161073825505,0.5,0.6064516129032258,0.0,0.0,0.0,0.0
US Open,2010/08/30,Hard,1st Round,Monfils G.,19.0,1.25,Kendrick R.,148.0,3.75,0,0.6007905138339921,0.2876712328767123,0.5183992640294388,0.46210526315789474,0.660377358490566,0.23529411764705882,0.5294797687861271,0.42292490118577075,0.5899280575539568,0.2962962962962963,0.5153671030165055,0.4675716440422323,0.6363636363636364,0.2222222222222222,0.5336225596529284,0.4111111111111111,0.6896551724137931,0.25,0.5349143610013175,0.48325358851674644,0.6363636363636364,0.3333333333333333,0.5816326530612245,0.43333333333333335,0.6808510638297872,0.3333333333333333,0.536108751062022,0.4981684981684982,0.6666666666666666,0.5,0.5686274509803921,0.45,1.0,0.0,0.5652173913043478,0.43478260869565216,1.0,0.0,0.5652173913043478,0.43478260869565216,0.31311928095727976,0.05629400087154407,0.4250832408435072,0.10655486760035637,0.29363176125766055,0.047795458974273175,0.41414141414141414,0.12251144854181728,0.43965517241379315,0.05166077248457107,0.30303030303030304,0.14829931972789112,0.3475177304964539,0.037940252893523874,0.16666666666666663,0.11862745098039212,1.0,0.13043478260869562,1.0,0.13043478260869562
US Open,2010/08/30,Hard,1st Round,Zeballos H.,61.0,2.62,Andreev I.,121.0,1.44,1,0.4,0.5294117647058824,0.4700193423597679,0.5079069767441861,0.3333333333333333,0.5869565217391305,0.4772727272727273,0.5255474452554745,0.42105263157894735,0.49586776859504134,0.4811715481171548,0.4976657329598506,0.3333333333333333,0.5454545454545454,0.47619047619047616,0.515970515970516,0.41025641025641024,0.42424242424242425,0.4715852442671984,0.48134328358208955,0.3333333333333333,0.0,0.4806201550387597,0.45714285714285713,0.42105263157894735,0.35,0.4811715481171548,0.4731610337972167,0.3333333333333333,0.0,0.47619047619047616,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12941176470588234,-0.03788763438441817,-0.2536231884057972,-0.048274717982747184,-0.07481513701609399,-0.016494184842695825,-0.2121212121212121,-0.039780039780039855,-0.013986013986014012,-0.009758039314891165,0.3333333333333333,0.023477297895902582,0.07105263157894737,0.0080105143199381,0.3333333333333333,0.007440476190476164,0.0,0.0,0.0,0.0
US Open,2010/08/30,Hard,1st Round,Melzer J.,15.0,1.16,Tursunov D.,481.0,4.5,0,0.5377049180327869,0.5541125541125541,0.5045495322311931,0.5126254451278731,0.5769230769230769,0.5681818181818182,0.5083415112855741,0.5224071702944942,0.5034013605442177,0.5869565217391305,0.49492792311799255,0.5213087709650811,0.45,0.5,0.5051975051975052,0.5555555555555556,0.6470588235294118,0.16666666666666666,0.5315052508751459,0.378698224852071,0.6923076923076923,0.0,0.5521739130434783,0.2916666666666667,0.5952380952380952,0.42857142857142855,0.5192878338278932,0.4975845410628019,0.3333333333333333,0.0,0.553030303030303,0.6521739130434783,0.0,1.0,0.46153846153846156,0.5384615384615384,0.0,1.0,0.46153846153846156,0.5384615384615384,-0.01640763607976725,-0.008075912896679971,0.00874125874125864,-0.014065659008920095,-0.0835551611949128,-0.02638084784708855,-0.04999999999999999,-0.05035805035805041,0.48039215686274517,0.1528070260230749,0.6923076923076923,0.2605072463768116,0.16666666666666669,0.02170329276509131,0.3333333333333333,-0.09914361001317529,-1.0,-0.07692307692307687,-1.0,-0.07692307692307687
